task,train,validation,test
hahackathon#is_humor,8000,1000,1000
sarc,205665,51417,64666
tweet_irony,2862,955,784
contextual-abuse#IdentityDirectedAbuse,10760,1345,1345
contextual-abuse#PersonDirectedAbuse,10760,1345,1345
hasbiasedimplication,35424,4666,4691
hateoffensive,22277,1251,1255
implicit-hate#explicit_hate,17180,2148,2148
implicit-hate#implicit_hate,17180,2148,2148
implicit-hate#incitement_hate,17180,2148,2148
implicit-hate#inferiority_hate,17180,2148,2148
implicit-hate#stereotypical_hate,17180,2148,2148
implicit-hate#threatening_hate,17180,2148,2148
implicit-hate#white_grievance_hate,17180,2148,2148
intentyn,35424,4666,4691
jigsaw#identity_hate,178839,10932,10932
jigsaw#insult,178839,10932,10932
jigsaw#obscene,178839,10932,10932
jigsaw#severe_toxic,178839,10932,10932
jigsaw#threat,178839,10932,10932
jigsaw#toxic,178839,10932,10932
offensiveyn,35424,4666,4691
sexyn,35424,4666,4691
tweet_offensive,11916,1324,860
crowdflower,36010,1968,2022
dailydialog,87170,8069,7740
empathy#distress_bin,1487,186,186
sentitreebank,117220,825,1749
tweet_emoji,45000,5000,50000
tweet_emotion,3257,374,1421
tweet_sentiment,45615,2000,12284
complaints,2759,345,345
empathy#empathy_bin,1487,186,186
hayati_politeness,256,32,32
questionintimacy,1797,225,225
stanfordpoliteness,9859,530,567
bragging#brag_achievement,5314,665,664
bragging#brag_action,5314,665,664
bragging#brag_possession,5314,665,664
bragging#brag_trait,5314,665,664
hypo-l,2580,323,323
rumor#rumor_bool,1133,142,142
two-to-lie#receiver_truth,9382,1173,1173
two-to-lie#sender_truth,9382,1173,1173
